Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Year,Detected by Radial Velocity Variations,Detected by Pulsar Timing Variations,Detected by Pulsation Timing Variations,Detected by Transits,Detected by Astrometric Variations,Detected by Orbital Brightness Modulations,Detected by Microlensing,Detected by Eclipse Timing Variations,Detected by Imaging,Detected by Disk Kinematics,Controversial Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
1,1,0,0,2009,1,0,0,1,0,0,0,0,0,0,0,4.6158,38.06304,29.61659,282.67121,0,1,0,0,0
1,3,0,0,2009,1,0,0,1,0,0,0,0,0,0,0,-2.17853,213.01042,-24.04666,102.00623,0,2,0,0,0
1,3,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,-2.17853,213.01042,-24.04666,102.00623,0,2,0,0,0
1,3,0,0,2022,1,0,0,0,0,0,0,0,0,0,0,-2.17853,213.01042,-24.04666,102.00623,0,2,0,0,0
1,1,0,0,2010,1,0,0,1,0,0,0,0,0,0,0,-7.10426,38.21286,23.11609,293.57414,0,2,0,0,0
2,1,0,0,2009,1,0,0,1,0,0,0,0,0,0,0,4.66217,37.52335,29.18378,282.3007,0,0,0,0,0
1,1,0,0,2017,1,0,0,1,0,0,0,0,0,0,0,1.86373,203.48237,-13.81584,100.36401,0,0,0,0,0
2,1,0,1,2018,0,0,0,0,0,0,0,1,0,0,0,70.27803,104.28761,49.28848,175.94362,0,0,0,0,0
1,1,0,0,2013,0,0,0,0,1,0,0,0,0,0,0,-6.82669,265.61638,-64.88262,154.10966,0,0,0,0,0
1,1,0,0,2004,0,0,0,0,0,0,0,0,1,0,0,-14.93888,171.89958,4.67616,69.84359,0,0,0,0,0
1,4,0,0,2019,1,0,0,0,0,0,0,0,0,0,0,-19.05301,215.35863,-34.02682,86.17602,1,0,0,0,0
1,4,0,0,2019,1,0,0,0,0,0,0,0,0,0,0,-19.05301,215.35863,-34.02682,86.17602,1,0,0,0,0
1,4,0,0,2019,1,0,0,0,0,0,0,0,0,0,0,-19.05301,215.35863,-34.02682,86.17602,1,0,0,0,0
1,4,0,0,2019,1,0,0,0,0,0,0,0,0,0,0,-19.05301,215.35863,-34.02682,86.17602,1,0,0,0,0
1,1,0,0,2019,1,0,0,0,0,0,0,0,0,0,0,-75.5342,246.92255,-42.07502,9.55081,1,0,0,0,0
2,1,0,0,2019,1,0,0,0,0,0,0,0,0,0,0,-29.14463,283.20965,-84.02157,265.30883,1,0,0,0,0
1,1,0,0,2023,1,0,0,0,0,0,0,0,0,0,0,14.58774,83.46183,70.67254,319.18331,1,0,0,0,0
2,1,0,1,2009,0,0,0,0,0,0,0,1,0,0,0,66.45634,230.89636,12.2855,163.07413,0,0,0,0,0
2,1,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,-46.63356,312.10146,-57.6872,311.43551,1,0,0,0,0
1,1,0,0,2020,0,0,0,1,0,0,0,0,0,0,0,51.24569,264.99528,-8.32309,172.84681,0,0,0,0,0
1,1,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,56.94662,278.31843,-3.22646,181.07984,0,0,0,0,0
1,1,0,0,2021,0,0,0,1,0,0,0,0,0,0,0,61.20318,285.58634,1.3229,184.44256,0,0,0,0,0
1,1,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,54.82399,258.19387,-3.92857,169.63818,0,0,0,0,0
1,1,0,0,2021,0,0,0,1,0,0,0,0,0,0,0,63.35883,282.19917,3.28517,182.63147,0,0,0,0,0
1,2,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,64.0901,285.15815,4.15639,183.85511,0,0,0,0,0
1,3,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,61.77713,262.91176,2.23585,173.69303,0,0,0,0,0
1,1,0,0,2020,0,0,0,1,0,0,0,0,0,0,0,61.14782,260.8805,1.83241,172.60849,0,0,0,0,0
1,2,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,59.32248,252.27127,1.34727,167.98914,0,0,0,0,0
1,1,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,63.11979,261.10589,3.72695,173.16633,0,0,0,0,0
1,2,0,0,2019,0,0,0,1,0,0,0,0,0,0,0,-51.71337,40.91076,-4.90552,329.20354,0,0,0,0,0
