Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Discovery Year,Discovery Facility,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbital Period Limit Flag,Planet Radius [Earth Radius],Planet Radius Limit Flag,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Density [g/cm**3],Planet Density Limit Flag,Stellar Effective Temperature [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Luminosity [log(Solar)],Stellar Luminosity Limit Flag,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Total Proper Motion [mas/yr],Total Proper Motion Upper Unc [mas/yr],Total Proper Motion Lower Unc [mas/yr],Proper Motion (RA) [mas/yr],Proper Motion (RA) [mas/yr] Upper Unc,Proper Motion (RA) [mas/yr] Lower Unc,Proper Motion (Dec) [mas/yr],Proper Motion (Dec) [mas/yr] Upper Unc,Proper Motion (Dec) [mas/yr] Lower Unc,Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,B (Johnson) Magnitude,B (Johnson) Magnitude Upper Unc,B (Johnson) Magnitude Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,J (2MASS) Magnitude,J (2MASS) Magnitude Upper Unc,J (2MASS) Magnitude Lower Unc,H (2MASS) Magnitude,H (2MASS) Magnitude Upper Unc,H (2MASS) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc,TESS Magnitude,TESS Magnitude Upper Unc,TESS Magnitude Lower Unc,Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
Kepler-1368 b,Kepler-1368,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0.67564949,0.0,1.65,0.0,3.36,0.0,4.11,0.0,5906.0,0.0,1.08,0.0,1.07,0.08,-0.06,0.0,0.051,0.0,4.4,0.0,9.54253,75.07597,61.59227,311.1505,3.8582587,0.0814581,-0.0814581,0.0804436,0.0705267,-0.0705267,-3.85742,0.0814625,-0.0814625,1635.82,139.99,-119.86,16.212,0.073,-0.073,15.914,1.133,-1.133,14.701,0.039,-0.039,14.351,0.058,-0.058,14.388,0.084,-0.084,15.8729,0.000615,-0.000615,15.3613,0.0088,-0.0088,0,0,0,0,0
Kepler-1369 b,Kepler-1369,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,25.873148,0.0,2.69,0.0,7.7,0.0,2.17,0.0,5761.0,0.0,0.99,0.0,0.99,0.06,-0.06,0.0,-0.01,0.0,4.45,0.0,15.32601,71.46339,62.91072,296.84748,3.413898,0.05473,-0.05473,1.9908,0.0513885,-0.0513885,2.77334,0.0563745,-0.0563745,1236.56,43.03,-40.28,16.276,0.02,-0.02,15.621,0.08,-0.08,14.199,0.029,-0.029,13.835,0.03,-0.03,13.788,0.048,-0.048,15.3498,0.000393,-0.000393,14.8613,0.0065,-0.0065,0,0,0,0,0
Kepler-137 b,Kepler-137,1,2,0,0,Transit,2014,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,8.436387,0.0,1.47,0.0,2.76,0.0,4.77,0.0,5187.0,0.0,0.8,0.0,0.91,0.03,-0.03,0.0,-0.292,0.0,4.55,0.0,18.62824,72.46721,65.56252,291.80246,27.5949809,0.0357637,-0.0357637,14.3267,0.0359235,-0.0359235,23.5845,0.0357045,-0.0357045,302.979,1.849,-1.827,13.879,0.026,-0.026,13.063,0.103,-0.103,11.65,0.021,-0.021,11.229,0.02,-0.02,11.165,0.011,-0.011,12.9414,0.000382,-0.000382,12.4081,0.0068,-0.0068,0,0,0,0,0
Kepler-137 c,Kepler-137,1,2,0,0,Transit,2014,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,18.735753,0.0,1.88,0.0,4.19,0.0,3.47,0.0,5187.0,0.0,0.8,0.0,0.91,0.03,-0.03,0.0,-0.292,0.0,4.55,0.0,18.62824,72.46721,65.56252,291.80246,27.5949809,0.0357637,-0.0357637,14.3267,0.0359235,-0.0359235,23.5845,0.0357045,-0.0357045,302.979,1.849,-1.827,13.879,0.026,-0.026,13.063,0.103,-0.103,11.65,0.021,-0.021,11.229,0.02,-0.02,11.165,0.011,-0.011,12.9414,0.000382,-0.000382,12.4081,0.0068,-0.0068,0,0,0,0,0
Kepler-1370 b,Kepler-1370,1,2,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,20.2641684,0.0,1.84,0.0,4.04,0.0,3.56,0.0,6202.0,0.0,1.29,0.0,1.19,0.15,-0.09,0.0,0.458,0.0,4.29,0.0,16.50143,71.90739,63.94511,295.27597,3.4558155,0.0267905,-0.0267905,2.02441,0.0251939,-0.0251939,2.80079,0.0275879,-0.0275879,1004.1,16.0405,-16.0405,16.091,0.0,0.0,13.718,0.092,-0.092,12.681,0.022,-0.022,12.421,0.022,-0.022,12.349,0.02,-0.02,13.6743,0.000229,-0.000229,13.2588,0.0068,-0.0068,0,0,0,0,0
Kepler-1370 c,Kepler-1370,1,2,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,7.44142113,0.0,1.27,0.0,2.15,0.0,5.77,0.0,6202.0,0.0,1.29,0.0,1.19,0.15,-0.09,0.0,0.458,0.0,4.29,0.0,16.50143,71.90739,63.94511,295.27597,3.4558155,0.0267905,-0.0267905,2.02441,0.0251939,-0.0251939,2.80079,0.0275879,-0.0275879,1004.1,16.0405,-16.0405,16.091,0.0,0.0,13.718,0.092,-0.092,12.681,0.022,-0.022,12.421,0.022,-0.022,12.349,0.02,-0.02,13.6743,0.000229,-0.000229,13.2588,0.0068,-0.0068,0,0,0,0,0
Kepler-1371 b,Kepler-1371,1,2,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,3.4462039,0.0,0.73,0.0,0.315,0.0,4.45,0.0,5361.0,0.0,0.83,0.0,0.87,0.04,-0.05,0.0,-0.198,0.0,4.55,0.0,15.9007,78.66806,68.60669,306.67254,6.5621062,0.0412299,-0.0412299,4.46309,0.0428828,-0.0428828,-4.81062,0.0397521,-0.0397521,515.334,5.4865,-5.4865,14.786,0.123,-0.123,14.018,0.103,-0.103,12.536,0.021,-0.021,12.123,0.017,-0.017,12.052,0.016,-0.016,13.8344,0.000331,-0.000331,13.3037,0.0063,-0.0063,0,0,0,0,0
Kepler-1371 c,Kepler-1371,1,2,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,2.00541269,0.0,0.64,0.0,0.196,0.0,4.11,0.0,5361.0,0.0,0.83,0.0,0.87,0.04,-0.05,0.0,-0.198,0.0,4.55,0.0,15.9007,78.66806,68.60669,306.67254,6.5621062,0.0412299,-0.0412299,4.46309,0.0428828,-0.0428828,-4.81062,0.0397521,-0.0397521,515.334,5.4865,-5.4865,14.786,0.123,-0.123,14.018,0.103,-0.103,12.536,0.021,-0.021,12.123,0.017,-0.017,12.052,0.016,-0.016,13.8344,0.000331,-0.000331,13.3037,0.0063,-0.0063,0,0,0,0,0
Kepler-1372 b,Kepler-1372,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,1.31155557,0.0,1.27,0.0,2.15,0.0,5.77,0.0,5677.0,0.0,0.97,0.0,0.98,0.05,-0.05,0.0,0.012,0.0,4.46,0.0,14.78911,76.10194,66.03725,304.41212,17.9423775,0.0493971,-0.0493971,-5.65655,0.0530928,-0.0530928,-17.0274,0.0489722,-0.0489722,1303.22,54.57,-50.43,16.376,0.041,-0.041,15.667,0.126,-0.126,14.113,0.026,-0.026,13.792,0.033,-0.033,13.718,0.043,-0.043,15.3493,0.000442,-0.000442,14.8591,0.0065,-0.0065,0,0,0,0,0
Kepler-1373 b,Kepler-1373,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,1.29123275,0.0,1.16,0.0,1.65,0.0,5.81,0.0,6299.0,0.0,1.33,0.0,1.22,0.2,-0.12,0.0,0.774,0.0,4.27,0.0,14.69768,69.84201,61.27739,295.94198,7.7509606,0.0798414,-0.0798414,-4.87571,0.0731068,-0.0731068,-6.02535,0.0839591,-0.0839591,1699.46,131.92,-114.55,15.089,0.066,-0.066,14.328,0.092,-0.092,13.121,0.02,-0.02,12.853,0.023,-0.023,12.789,0.024,-0.024,14.0717,0.000256,-0.000256,13.6801,0.0099,-0.0099,0,0,0,0,0
Kepler-1374 b,Kepler-1374,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,10.65276707,0.0,2.29,0.0,5.86,0.0,2.68,0.0,5323.0,0.0,0.81,0.0,0.85,0.05,-0.06,0.0,-0.368,0.0,4.56,0.0,13.34189,77.15811,65.76714,308.70511,6.4973802,0.0615158,-0.0615158,-1.11117,0.0614202,-0.0614202,-6.40166,0.0615187,-0.0615187,1078.46,41.55,-38.63,18.033,0.174,-0.174,15.991,0.08,-0.08,14.649,0.035,-0.035,14.196,0.033,-0.033,14.129,0.055,-0.055,15.93,0.000626,-0.000626,15.3944,0.0064,-0.0064,0,0,0,0,0
Kepler-1375 b,Kepler-1375,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,3.3004192,0.0,1.74,0.0,3.68,0.0,3.84,0.0,6704.0,0.0,1.78,0.0,1.47,0.22,-0.16,0.0,0.822,0.0,4.11,0.0,9.38662,77.18644,62.81379,314.78192,11.0886547,0.0282895,-0.0282895,-4.16777,0.02719,-0.02719,-10.2756,0.0284663,-0.0284663,1430.84,32.46,-32.46,14.433,0.021,-0.021,13.864,0.126,-0.126,12.66,0.02,-0.02,12.459,0.022,-0.022,12.362,0.018,-0.018,13.7103,0.00025,-0.00025,13.2891,0.0076,-0.0076,0,0,0,0,0
Kepler-1376 b,Kepler-1376,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,5.30880656,0.0,1.05,0.0,1.16,0.0,5.51,0.0,5659.0,0.0,0.97,0.0,0.98,0.04,-0.04,0.0,-0.071,0.0,4.46,0.0,15.15491,73.34563,64.24552,299.64242,1.5482143,0.0359667,-0.0359667,-1.4313,0.0354836,-0.0354836,0.59021,0.0386861,-0.0386861,868.056,14.985,-14.492,15.477,0.029,-0.029,14.792,0.195,-0.195,13.444,0.022,-0.022,13.165,0.023,-0.023,13.072,0.03,-0.03,14.6721,0.000316,-0.000316,14.1768,0.0066,-0.0066,0,0,0,0,0
Kepler-1377 b,Kepler-1377,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0.74092842,0.0,1.25,0.0,2.1,0.0,5.91,0.0,5218.0,0.0,0.82,0.0,0.86,0.04,-0.04,0.0,-0.293,0.0,4.55,0.0,15.31757,77.91073,67.67639,306.45445,12.5263873,0.0715179,-0.0715179,-5.06547,0.0692533,-0.0692533,-11.4565,0.0719523,-0.0719523,1146.1,54.25,-49.63,16.721,0.113,-0.113,15.857,0.092,-0.092,14.319,,,13.949,,,13.984,0.065,-0.065,15.8887,0.000573,-0.000573,15.3427,0.0067,-0.0067,0,0,0,0,0
Kepler-1378 b,Kepler-1378,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,11.95398936,0.0,2.2,0.0,5.48,0.0,2.83,0.0,4407.0,0.0,0.67,0.0,0.7,0.02,-0.02,0.0,-0.903,0.0,4.63,0.0,7.20309,74.90403,59.69671,313.97032,12.035693,0.0810566,-0.0810566,11.3372,0.0802533,-0.0802533,4.04052,0.0871224,-0.0871224,506.434,12.665,-12.072,18.255,0.167,-0.167,16.5497,0.0461,-0.0461,14.085,0.019,-0.019,13.297,0.044,-0.044,13.328,0.026,-0.026,16.0538,0.000722,-0.000722,15.2514,0.0068,-0.0068,0,0,0,0,0
Kepler-1379 b,Kepler-1379,1,1,0,0,Transit,2016,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,0.88184115,0.0,1.3,0.0,2.24,0.0,5.6,0.0,5188.0,0.0,0.79,0.0,0.83,0.04,-0.05,0.0,-0.403,0.0,4.57,0.0,10.16065,74.47828,61.65394,309.35885,10.2923884,0.0981015,-0.0981015,-1.56051,0.0827133,-0.0827133,-10.1734,0.0984346,-0.0984346,971.325,43.8825,-43.8825,17.116,0.069,-0.069,16.107,0.32,-0.32,14.406,0.028,-0.028,13.994,0.032,-0.032,13.8,0.053,-0.053,15.8526,0.000701,-0.000701,15.2626,0.0069,-0.0069,0,0,0,0,0
Kepler-138 b,Kepler-138,1,4,0,0,Transit,2014,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,10.3134,0.0,0.64,0.0,0.07,0.0,1.7,0.0,3841.0,0.0,0.54,0.0,0.54,0.01,-0.01,0.0,-1.252,0.0,4.71,0.0,13.17249,75.10743,64.22965,305.66133,30.6516252,0.045006,-0.045006,-20.5991,0.0448451,-0.0448451,22.698,0.045138,-0.045138,66.8624,0.107,-0.107,14.621,0.052,-0.052,13.04,0.092,-0.092,10.293,0.022,-0.022,9.68,0.018,-0.018,9.506,0.011,-0.011,12.4715,0.000239,-0.000239,11.5177,0.0072873,-0.0072873,0,0,0,0,0
Kepler-138 c,Kepler-138,1,4,0,0,Transit,2014,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,13.7815,0.0,1.51,0.0,2.3,0.0,3.6,0.0,3841.0,0.0,0.54,0.0,0.54,0.01,-0.01,0.0,-1.252,0.0,4.71,0.0,13.17249,75.10743,64.22965,305.66133,30.6516252,0.045006,-0.045006,-20.5991,0.0448451,-0.0448451,22.698,0.045138,-0.045138,66.8624,0.107,-0.107,14.621,0.052,-0.052,13.04,0.092,-0.092,10.293,0.022,-0.022,9.68,0.018,-0.018,9.506,0.011,-0.011,12.4715,0.000239,-0.000239,11.5177,0.0072873,-0.0072873,0,0,0,0,2
Kepler-138 d,Kepler-138,1,4,0,0,Transit,2014,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,23.0923,0.0,1.51,0.0,2.1,0.0,3.6,0.0,3841.0,0.0,0.54,0.0,0.54,0.01,-0.01,0.0,-1.252,0.0,4.71,0.0,13.17249,75.10743,64.22965,305.66133,30.6516252,0.045006,-0.045006,-20.5991,0.0448451,-0.0448451,22.698,0.045138,-0.045138,66.8624,0.107,-0.107,14.621,0.052,-0.052,13.04,0.092,-0.092,10.293,0.022,-0.022,9.68,0.018,-0.018,9.506,0.011,-0.011,12.4715,0.000239,-0.000239,11.5177,0.0072873,-0.0072873,0,0,0,0,0
Kepler-138 e,Kepler-138,1,4,0,0,Transit Timing Variations,2022,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,38.23,0.0,0.797,0.0,0.43,0.0,4.67,0.0,3841.0,0.0,0.54,0.0,0.54,0.01,-0.01,0.0,-1.252,0.0,4.71,0.0,13.17249,75.10743,64.22965,305.66133,30.6516252,0.045006,-0.045006,-20.5991,0.0448451,-0.0448451,22.698,0.045138,-0.045138,66.8624,0.107,-0.107,14.621,0.052,-0.052,13.04,0.092,-0.092,10.293,0.022,-0.022,9.68,0.018,-0.018,9.506,0.011,-0.011,12.4715,0.000239,-0.000239,11.5177,0.0072873,-0.0072873,0,0,0,0,0
